filename	onset	offset	event_labels	visual_labels	audio_labels	modality	has_visual	has_audio
-0A9sun15YA_110_120	0	3	Car	Car	Car	multimodal	True	True
-0A9sun15YA_110_120	3	4	Speech,Car	Car	Car,Speech	multimodal	True	True
-0A9sun15YA_110_120	4	9	Car	Car	Car	multimodal	True	True
-0A9sun15YA_110_120	9	10	Speech,Car	Car	Car,Speech	multimodal	True	True
-0bNnlJmBM0_30_40	0	7	Chicken_rooster,Car	Chicken_rooster	Car	multimodal	True	True
-0bNnlJmBM0_30_40	7	9	Speech,Chicken_rooster,Car	Chicken_rooster	Car,Speech	multimodal	True	True
-0bNnlJmBM0_30_40	9	10	Chicken_rooster,Car	Chicken_rooster	Car	multimodal	True	True
-14BFlDzjS4_6_16	0	3	Car	Car	Car	multimodal	True	True
-14BFlDzjS4_6_16	3	5	Speech,Car	Car	Car,Speech	multimodal	True	True
-14BFlDzjS4_6_16	5	9	Car	Car	Car	multimodal	True	True
-14BFlDzjS4_6_16	9	10	Speech,Car	Car	Car,Speech	multimodal	True	True
-1HZWgFylMQ_590_600	0	1	Speech,Car	Car	Speech,Car	multimodal	True	True
-1HZWgFylMQ_590_600	1	3	Car	Car	Car	multimodal	True	True
-1HZWgFylMQ_590_600	3	6	Speech,Car	Car	Speech,Car	multimodal	True	True
-1HZWgFylMQ_590_600	6	8	Car	Car	Car	multimodal	True	True
-2CdXt0-f0I_30_40	0	1	Car	Car	Car	multimodal	True	True
-2CdXt0-f0I_30_40	1	3	Speech,Car	Car	Car,Speech	multimodal	True	True
-2CdXt0-f0I_30_40	3	5	Car	Car	Car	multimodal	True	True
-2CdXt0-f0I_30_40	5	6	Speech,Car	Car	Car,Speech	multimodal	True	True
-2CdXt0-f0I_30_40	6	10	Car	Car	Car	multimodal	True	True
-2WeNked2Xs_30_40	0	10	Speech,Car	Car	Car,Speech	multimodal	True	True
-2YWkWhIVtQ_30_40	0	10	Car	Car	Car	multimodal	True	True
-3G-bs5JaW8_100_110	0	8	Vacuum_cleaner	Vacuum_cleaner	Vacuum_cleaner	multimodal	True	True
