filename	onset	offset	event_labels	modality
-0A9sun15YA_110_120	0,3,9	10,4,10	Car,Speech,Speech	audio
-0A9sun15YA_110_120	0	10	Car	visual
-0bNnlJmBM0_30_40	0,7	10,9	Car,Speech	audio
-0bNnlJmBM0_30_40	0	10	Chicken_rooster	visual
-14BFlDzjS4_6_16	0,3,9	10,5,10	Car,Speech,Speech	audio
-14BFlDzjS4_6_16	0	10	Car	visual
-1HZWgFylMQ_590_600	0,3,0	1,6,8	Speech,Speech,Car	audio
-1HZWgFylMQ_590_600	0	8	Car	visual
-2CdXt0-f0I_30_40	0,1,5	10,3,6	Car,Speech,Speech	audio
-2CdXt0-f0I_30_40	0	10	Car	visual
-2WeNked2Xs_30_40	0,0	10,10	Car,Speech	audio
-2WeNked2Xs_30_40	0	10	Car	visual
-2YWkWhIVtQ_30_40	0	10	Car	audio
-2YWkWhIVtQ_30_40	0	10	Car	visual
-3G-bs5JaW8_100_110	0	9	Vacuum_cleaner	audio
-3G-bs5JaW8_100_110	0	8	Vacuum_cleaner	visual
-3M-k4nIYIM_30_40	0,1,4,7,9	7,2,6,8,10	Car,Speech,Speech,Speech,Speech	audio
-3M-k4nIYIM_30_40	0,3	2,10	Car,Car	visual
-3zSILamaBM_16_26	0	10	Chainsaw	audio
-3zSILamaBM_16_26	0	8	Chainsaw	visual
-5uuZRObZH4_8_18	0,5	10,6	Car,Speech	audio
-5uuZRObZH4_8_18	0	7	Car	visual
-7tDh-UQR7Q_50_60	0,0,1	10,10,10	Cello,Violin_fiddle,Singing	audio
-7tDh-UQR7Q_50_60	0,0,1	4,4,10	Cello,Violin_fiddle,Singing	visual
-7yHd8yVL7o_10_20	0	10	Car	audio
-7yHd8yVL7o_10_20	0	10	Car	visual
-8J-J79jkIE_30_40	0	10	Car	audio
-8J-J79jkIE_30_40	0	10	Car	visual
-9D8GR2VBKE_40_50	0,0,3	10,2,4	Frying_(food),Speech,Speech	audio
-9D8GR2VBKE_40_50	9	10	Frying_(food)	visual
-9b-N3vQj2k_30_40	3	10	Cheering	audio
-9b-N3vQj2k_30_40	3	10	Cheering	visual
-9ummbDsgFM_30_40	0	10	Chainsaw	audio
-9ummbDsgFM_30_40	1	10	Chainsaw	visual
00m3AbSa21M_550_560	0,2,8	1,10,10	Speech,Speech,Blender	audio
